club_name,league_name,country,total_spent_m,total_received_m,net_profit_m,n_buys,n_sells
Levante UD,Primera Division,Spain,61.0,103.3,42.4,91,80
Liverpool FC,Premier League,England,1303.0,809.9,-493.1,78,100
Manchester City,Premier League,England,1990.8,786.5,-1204.2,88,113
Manchester United,Premier League,England,1739.7,434.4,-1305.3,57,78
Middlesbrough FC,Premier League,England,48.0,13.5,-34.5,12,8
Montpellier HSC,Ligue 1,France,90.2,208.6,118.4,68,82
Moreirense FC,Liga Nos,Portugal,2.0,22.1,20.1,58,86
Málaga CF,Primera Division,Spain,119.7,177.8,58.0,67,65
NAC Breda,Eredivisie,Netherlands,0.3,7.6,7.3,44,52
NEC Nijmegen,Eredivisie,Netherlands,3.5,14.8,11.3,57,69
Naval 1º de Maio,Liga Nos,Portugal,0.0,1.5,1.5,6,7
Newcastle United,Premier League,England,754.3,229.3,-525.1,74,73
Norwich City,Premier League,England,167.4,67.8,-99.6,45,51
Nottingham Forest,Premier League,England,179.3,7.0,-172.3,21,7
Novara Calcio 1908,Serie A,Italy,4.7,1.7,-3.0,6,6
Nîmes Olympique,Ligue 1,France,24.3,23.0,-1.3,22,17
OGC Nice,Ligue 1,France,306.1,269.8,-36.3,82,94
Olympique Lyon,Ligue 1,France,430.4,727.8,297.5,68,106
Olympique Marseille,Ligue 1,France,515.9,342.8,-173.1,85,96
PEC Zwolle,Eredivisie,Netherlands,5.3,21.7,16.4,65,81
PSV Eindhoven,Eredivisie,Netherlands,205.8,470.5,264.7,70,90
Paris Saint-Germain,Ligue 1,France,1585.6,502.6,-1083.0,72,89
Parma Calcio 1913,Serie A,Italy,137.9,21.5,-116.4,48,31
Parma FC,Serie A,Italy,96.9,119.2,22.3,144,103
Portimonense SC,Liga Nos,Portugal,6.0,79.0,73.0,42,50
Queens Park Rangers,Premier League,England,116.9,30.3,-86.5,35,39
RB Leipzig,1 Bundesliga,Germany,524.8,375.9,-148.9,42,45
RC Lens,Ligue 1,France,78.0,81.4,3.5,23,29
RC Strasbourg Alsace,Ligue 1,France,55.6,64.9,9.3,32,37
RCD Espanyol Barcelona,Primera Division,Spain,170.2,201.9,31.7,76,94
RCD Mallorca,Primera Division,Spain,34.3,35.5,1.2,38,50
RKC Waalwijk,Eredivisie,Netherlands,0.3,4.9,4.6,42,50
Racing Santander,Primera Division,Spain,0.0,12.1,12.1,6,14
Rayo Vallecano,Primera Division,Spain,19.1,26.9,7.7,66,52
Reading FC,Premier League,England,10.8,0.9,-9.9,11,6
Real Betis Balompié,Primera Division,Spain,240.4,224.9,-15.5,77,85
Real Madrid,Primera Division,Spain,1267.2,965.1,-302.0,51,72
Real Sociedad,Primera Division,Spain,209.2,288.3,79.1,40,56
Real Valladolid CF,Primera Division,Spain,27.7,22.8,-4.9,40,37
Real Zaragoza,Primera Division,Spain,16.6,19.2,2.6,26,21
Rio Ave FC,Liga Nos,Portugal,9.6,51.6,41.9,75,79
Roda JC Kerkrade,Eredivisie,Netherlands,1.7,5.3,3.5,56,61
SC Bastia,Ligue 1,France,1.4,20.4,19.0,32,34
SC Beira-Mar,Liga Nos,Portugal,0.0,2.9,2.9,20,22
SC Braga,Liga Nos,Portugal,81.2,310.7,229.5,113,119
SC Cambuur Leeuwarden,Eredivisie,Netherlands,0.0,0.0,0.0,2,0
